_RAJ2000,_DEJ2000,recno,CName,Cluster,Inst,Teff,e_Teff,logg,e_logg,__Fe_H_,e__Fe_H_,l_EWLi,EWLi,e_EWLi,f_EWLi,Gamma,e_Gamma,RV,e_RV,MembPA,MembPB,ID,Simbad,_RA,_DE
266.3545,5.860777777777778,10,17452508+0551388, IC4665,   UVES,5349,165,4.419,0.179,-0.05,0.028, ,310.633,6.334,0,0.998,0.004,-12.354,0.4,0.922,,10,Simbad,266.3545,5.860777777777777
266.4117083333333,5.606444444444443,14,17453881+0536232, IC4665,   UVES,6270,0,3.92,,-0.03,, ,113.0,,0,,,-14.246,0.4,0.927,,14,Simbad,266.4117083333333,5.606444444444444
266.6030416666666,5.289277777777777,21,17462473+0517214, IC4665,   UVES,5960,0,4.37,,0.0,, ,157.3,,0,,,-13.285,0.4,0.923,,21,Simbad,266.6030416666666,5.2892777777777775
266.6312083333333,6.09111111111111,22,17463149+0605280, IC4665,   UVES,6029,0,4.2,,0.02,, ,162.567,3.29,0,0.998,0.003,-14.651,0.4,0.926,,22,Simbad,266.6312083333333,6.09111111111111
266.8143333333333,5.943277777777777,25,17471544+0556358, IC4665,   UVES,5733,0,4.42,,0.06,, ,233.6,,0,0.995,0.002,-13.531,0.4,0.913,,25,Simbad,266.8143333333333,5.943277777777777
266.8855,5.875444444444443,28,17473252+0552316, IC4665,   UVES,6186,38,4.28,0.028,0.145,0.011, ,69.2,,0,,,-14.465,0.4,0.908,,28,Simbad,266.8855,5.875444444444444
266.88879166666663,5.529444444444445,29,17473331+0531460, IC4665,   UVES,5781,0,4.38,,0.11,, ,242.8,2.763,0,0.988,0.002,-13.428,0.4,0.949,,29,Simbad,266.88879166666663,5.529444444444444
267.02074999999996,5.811694444444444,34,17480498+0548421, IC4665,   UVES,5239,0,4.52,,-0.05,, ,257.2,,0,,,-13.983,0.4,0.94,,34,Simbad,267.02074999999996,5.811694444444444
266.13266666666664,5.918277777777777,43,17443184+0555058, IC4665,GIRAFFE,3945,240,4.511,0.073,-0.15,, ,120.7,,0,0.82,0.011,-13.6,0.296,0.951,,43,Simbad,266.13266666666664,5.918277777777777
266.22749999999996,5.654222222222221,76,17445460+0539152, IC4665,GIRAFFE,6163,37,3.862,0.043,-0.071,0.013,<,9.6,,3,1.005,0.002,-13.525,0.248,0.943,,76,Simbad,266.22749999999996,5.654222222222222
266.3097916666666,5.303222222222223,124,17451435+0518116, IC4665,GIRAFFE,5161,0,3.934,,-0.169,, ,293.25,2.515,0,0.957,0.004,-13.919,0.244,0.951,,124,Simbad,266.3097916666666,5.303222222222222
266.39379166666663,5.498277777777776,189,17453451+0529538, IC4665,GIRAFFE,3614,57,4.3,,-0.21,,<,100.0,,3,0.821,0.01,-14.01,0.264,0.948,,189,Simbad,266.39379166666663,5.498277777777777
266.41529166666663,5.51472222222222,205,17453967+0530530, IC4665,GIRAFFE,3512,149,4.186,,-0.14,, ,117.8,,0,0.835,0.007,-13.349,0.564,0.93,,205,Simbad,266.41529166666663,5.514722222222222
266.47004166666665,5.284777777777777,240,17455281+0517052, IC4665,GIRAFFE,6176,76,3.925,0.068,-0.11,0.075, ,64.0,3.055,0,1.005,0.005,-13.502,0.263,0.945,,240,Simbad,266.47004166666665,5.284777777777777
266.5499166666666,5.6905,289,17461198+0541258, IC4665,GIRAFFE,4985,178,3.97,,-0.001,0.078, ,262.967,6.414,0,0.983,0.005,-14.459,0.255,0.906,,289,Simbad,266.5499166666666,5.690499999999999
266.59929166666666,6.042888888888888,318,17462383+0602344, IC4665,GIRAFFE,4080,202,4.445,0.186,0.006,0.165,<,13.8,,3,0.871,0.005,-13.839,0.248,0.951,,318,Simbad,266.59929166666666,6.042888888888888
266.67616666666663,6.030722222222224,366,17464228+0601506, IC4665,GIRAFFE,3797,81,4.342,,-0.17,,<,100.0,,3,0.823,0.012,-13.532,0.296,0.946,,366,Simbad,266.67616666666663,6.030722222222222
266.7350833333333,5.795722222222221,405,17465642+0547446, IC4665,GIRAFFE,3973,223,4.459,0.161,0.019,0.179,<,27.6,,3,0.842,0.007,-14.445,0.257,0.909,,405,Simbad,266.7350833333333,5.7957222222222216
266.833375,5.781583333333333,461,17472001+0546537, IC4665,GIRAFFE,3564,53,4.19,,-0.21,, ,138.5,,0,0.819,0.009,-13.426,0.257,0.942,,461,Simbad,266.833375,5.781583333333333
266.8588749999999,5.7412222222222224,473,17472613+0544284, IC4665,GIRAFFE,3505,21,4.36,,-0.22,, ,134.6,,0,0.841,0.013,-13.634,0.303,0.949,,473,Simbad,266.85887499999995,5.741222222222222
266.9462083333333,5.255666666666666,541,17474709+0515204, IC4665,GIRAFFE,6113,21,4.093,0.13,-0.057,0.102, ,47.95,1.115,0,0.996,0.001,-13.776,0.24,0.952,,541,Simbad,266.9462083333333,5.255666666666666
115.68599999999996,-38.10394444444443,25,07424464-3806142,NGC2451,   UVES,6375,216,4.077,0.259,0.003,0.119, ,107.8,,0,,,15.233,0.4,0.005,0.931,25,Simbad,115.68599999999998,-38.10394444444444
115.98141666666666,-38.18655555555555,34,07435554-3811116,NGC2451,   UVES,5970,68,4.675,0.089,0.002,0.052, ,150.733,4.207,0,0.997,0.003,16.268,0.4,0.006,0.912,34,Simbad,115.98141666666665,-38.18655555555555
116.12191666666665,-37.77897222222221,40,07442926-3746443,NGC2451,   UVES,5820,0,4.4,,0.01,, ,179.95,1.61,0,0.999,0.002,16.335,0.4,0.004,0.94,40,Simbad,116.12191666666665,-37.778972222222215
116.15162499999997,-37.900499999999994,42,07443639-3754018,NGC2451,   UVES,5541,0,4.43,,-0.06,, ,227.2,15.56,0,0.994,0.002,,,0.004,0.933,42,Simbad,116.15162499999998,-37.900499999999994
116.227375,-38.3183611111111,46,07445457-3819061,NGC2451,   UVES,6433,186,4.039,0.198,-0.067,0.172, ,95.9,,0,,,15.243,0.4,0.005,0.932,46,Simbad,116.22737499999998,-38.31836111111111
116.26558333333334,-38.10297222222223,48,07450374-3806107,NGC2451,   UVES,5883,0,4.41,,-0.03,, ,175.733,4.566,0,1.001,0.002,14.112,0.4,0.004,0.937,48,Simbad,116.26558333333332,-38.10297222222222
114.26187499999999,-38.56816666666666,97,07370285-3834054,NGC2451,GIRAFFE,3466,25,4.699,0.015,-0.24,,<,100.0,,3,0.808,0.011,15.051,0.272,0.003,0.94,97,Simbad,114.26187499999999,-38.56816666666666
115.57845833333332,-38.067972222222224,445,07421883-3804047,NGC2451,GIRAFFE,3604,44,4.246,,-0.21,,<,100.0,,3,0.83,0.009,14.888,0.276,0.004,0.93,445,Simbad,115.57845833333332,-38.06797222222222
115.64354166666664,-38.01977777777777,471,07423445-3801112,NGC2451,GIRAFFE,4561,286,4.19,,-0.018,0.069, ,268.333,4.107,0,0.936,0.005,14.84,0.249,0.004,0.925,471,Simbad,115.64354166666665,-38.019777777777776
115.65233333333332,-38.66277777777777,477,07423656-3839460,NGC2451,GIRAFFE,3619,40,4.221,,-0.21,,<,100.0,,3,0.83,0.008,14.868,0.284,0.004,0.928,477,Simbad,115.65233333333332,-38.66277777777777
115.66266666666664,-38.04352777777778,479,07423904-3802367,NGC2451,GIRAFFE,3395,9,4.652,0.155,-0.28,,<,100.0,,3,0.831,0.016,15.498,0.388,0.003,0.937,479,Simbad,115.66266666666665,-38.043527777777776
115.72754166666665,-38.55858333333333,507,07425461-3833309,NGC2451,GIRAFFE,3974,200,4.347,,0.0,0.159, ,225.433,18.416,0,0.856,0.005,15.0,0.242,0.004,0.936,507,Simbad,115.72754166666665,-38.55858333333333
115.74549999999999,-38.53297222222222,516,07425892-3831587,NGC2451,GIRAFFE,3435,67,4.6,0.177,-0.26,,<,100.0,,3,0.84,0.012,15.183,0.288,0.003,0.942,516,Simbad,115.74549999999998,-38.53297222222222
